symbol,ts,open,high,low,close,volume,count
ETH,2026-05-25 20:00:00+00:00,2120.5,2122.2,2101.0,2112.4,51216.1971,13604
ETH,2026-05-26 00:00:00+00:00,2112.4,2113.2,2084.0,2092.5,97005.0868,22870
ETH,2026-05-26 04:00:00+00:00,2092.6,2104.1,2088.0,2094.7,21427.7528,10112
ETH,2026-05-26 08:00:00+00:00,2094.8,2137.1,2093.4,2119.9,61232.8654,18916
ETH,2026-05-26 12:00:00+00:00,2119.9,2140.0,2077.6,2086.4,110614.0926,38883
ETH,2026-05-26 16:00:00+00:00,2086.4,2088.6,2053.6,2073.3,68912.0779,33191
ETH,2026-05-26 20:00:00+00:00,2073.3,2077.8,2064.8,2072.6,28471.3719,12868
ETH,2026-05-27 00:00:00+00:00,2072.7,2083.1,2068.0,2068.6,26456.3944,16237
ETH,2026-05-27 04:00:00+00:00,2068.6,2083.3,2055.0,2082.9,40113.3211,19265
ETH,2026-05-27 08:00:00+00:00,2082.8,2095.8,2077.3,2079.7,37093.4634,18742
ETH,2026-05-27 12:00:00+00:00,2079.9,2096.2,2051.4,2070.9,100693.2488,40008
ETH,2026-05-27 16:00:00+00:00,2071.1,2073.8,2042.6,2056.7,54080.8832,25934
ETH,2026-05-27 20:00:00+00:00,2056.7,2065.2,2015.2,2023.9,127516.7952,37945
ETH,2026-05-28 00:00:00+00:00,2023.8,2028.4,1970.7,1980.5,113694.3633,40786
ETH,2026-05-28 04:00:00+00:00,1980.6,1995.8,1966.6,1994.2,74030.7991,31488
ETH,2026-05-28 08:00:00+00:00,1994.2,1997.1,1983.7,1988.7,24814.883,17713
ETH,2026-05-28 12:00:00+00:00,1988.7,2005.5,1966.7,1989.7,122261.0889,40916
ETH,2026-05-28 16:00:00+00:00,1989.7,2029.3,1984.2,2013.4,111465.5609,37950
ETH,2026-05-28 20:00:00+00:00,2013.4,2024.1,2004.3,2009.2,45230.9475,16079
ETH,2026-05-29 00:00:00+00:00,2009.2,2016.9,1997.0,2002.3,37427.0491,15877
ETH,2026-05-29 04:00:00+00:00,2002.3,2021.1,1997.7,2007.1,41595.3099,14449
ETH,2026-05-29 08:00:00+00:00,2007.2,2015.7,2001.6,2006.8,23872.7491,12680
ETH,2026-05-29 12:00:00+00:00,2006.7,2046.7,1976.1,2031.0,214494.4573,54418
ETH,2026-05-29 16:00:00+00:00,2031.1,2043.9,2003.2,2016.2,140103.462,36784
ETH,2026-05-29 20:00:00+00:00,2016.2,2023.2,2006.3,2013.7,22424.0666,14494
ETH,2026-05-30 00:00:00+00:00,2013.7,2022.9,2010.0,2016.0,18827.4288,10193
ETH,2026-05-30 04:00:00+00:00,2016.1,2020.0,2001.1,2015.2,45434.514,12808
ETH,2026-05-30 08:00:00+00:00,2015.2,2021.5,2012.9,2016.6,15010.091,7130
ETH,2026-05-30 12:00:00+00:00,2016.5,2032.7,2016.5,2026.1,78513.3428,15203
ETH,2026-05-30 16:00:00+00:00,2026.2,2029.5,2018.4,2027.9,19166.1054,10732
ETH,2026-05-30 20:00:00+00:00,2028.1,2031.1,2019.3,2021.6,18817.7125,10030
ETH,2026-05-31 00:00:00+00:00,2021.6,2037.2,2019.9,2033.1,19127.4102,10467
ETH,2026-05-31 04:00:00+00:00,2033.1,2034.5,2022.3,2023.6,12738.9323,9211
ETH,2026-05-31 08:00:00+00:00,2023.5,2028.4,2014.5,2022.3,22273.3104,10715
ETH,2026-05-31 12:00:00+00:00,2022.3,2025.7,2005.1,2010.0,58130.7201,17565
ETH,2026-05-31 16:00:00+00:00,2009.9,2011.6,1993.4,1999.2,31782.5073,15861
ETH,2026-05-31 20:00:00+00:00,1999.1,2023.1,1999.1,2006.7,56332.1362,18048
ETH,2026-06-01 00:00:00+00:00,2006.8,2021.5,1991.3,2008.6,72582.4965,23210
ETH,2026-06-01 04:00:00+00:00,2008.7,2011.3,1971.0,1975.8,64372.2233,27635
ETH,2026-06-01 08:00:00+00:00,1975.8,1989.6,1971.2,1980.8,30581.9303,21798
ETH,2026-06-01 12:00:00+00:00,1980.8,1993.8,1954.8,1967.8,150958.3397,59109
ETH,2026-06-01 16:00:00+00:00,1967.9,2008.8,1957.9,2004.2,72451.1984,33082
ETH,2026-06-01 20:00:00+00:00,2004.2,2009.0,1984.4,2006.9,65815.0453,28412
ETH,2026-06-02 00:00:00+00:00,2007.0,2007.0,1961.9,2003.9,99138.1369,32020
ETH,2026-06-02 04:00:00+00:00,2003.9,2006.6,1973.5,1981.4,77244.4762,29404
ETH,2026-06-02 08:00:00+00:00,1981.3,1988.9,1966.4,1978.2,58212.0113,28113
ETH,2026-06-02 12:00:00+00:00,1978.2,1982.3,1889.0,1914.4,267330.5351,83855
ETH,2026-06-02 16:00:00+00:00,1914.4,1943.3,1882.3,1911.4,160209.8339,58933
ETH,2026-06-02 20:00:00+00:00,1911.6,1917.8,1838.0,1859.0,118920.5715,52896
ETH,2026-06-03 00:00:00+00:00,1859.2,1873.4,1816.5,1826.8,122388.6556,42963
ETH,2026-06-03 04:00:00+00:00,1826.8,1883.9,1826.8,1878.0,94302.0608,42254
ETH,2026-06-03 08:00:00+00:00,1877.9,1892.0,1869.1,1877.3,74499.4208,31982
